id;date created;policy holder;life assured;age;dob;status;product name;insurer;policy num;coverage term;policy type;date incepted;date matured;date payment matured;nomination nominee;nomination status;payment frequency;payment term;payment mode;payment amt;hs deductible;hs co-insured;hs yearly limit;gi-travel medical overseas;gi-travel personal accident;gi-travel region;gi-home fixtures;gi-home contents;gi-motor property;gi-motor person;gi-motor workshop;gi-motor ncd;long term care;death;total perm disability;disability income;early critical illness;critical illness;personal accident;hospitalization benefits;remarks
5ae2d6a67370610cc61a9411;2020-08-04 03:25:26;Good Johnny;Good Johnny;40;1972-01-02;ACTIVE;TM Legacy Trigen;TOKIO MARINE LIFE INSURANCE;123456;Whole Life;Whole Life;2011-02-27;2071-02-26;2020-02-26;;;;10 Years;Cash ( GIRO );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;200000.0;200000.0;0.0;0.0;0.0;0.0;0.0;
5ae2d7227370610cc61a9421;2018-04-27 16:06:23;Good Johnny;Good Johnny;45;1972-01-02;ACTIVE;AIA Premier Disability Cover;AIA;123456;Whole Life;Disability Income;2016-04-10;2071-04-09;2070-04-09;;;;Whole Life;Cash ( GIRO );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;8000.0;0.0;0.0;0.0;0.0;
5b84b9c3d4ce12785f3f526d;2018-08-28 10:58:05;Good Johnny;Good Wife;49;1969-04-17;ACTIVE;RevoRetire;NTUC Income;123456;50 Years;Endowment;2017-08-28;2067-08-27;2026-08-27;;;;10 Years;Cash ( GIRO );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;50000.0;0.0;0.0;0.0;0.0;0.0;0.0;
5bb583c4d4ce121b94ccb41c;2021-12-28 07:17:46;Good Johnny;Good boy;3;2016-03-26;ACTIVE;Manulife LifeReady 15;MANULIFE;proposal 3;Whole Life;Whole Life with Critical Illness;2018-08-04;2115-08-03;2032-08-03;;;;15 Years;Cash ( GIRO );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;300000.0;300000.0;0.0;60000.0;240000.0;0.0;0.0;
5c7643dbd4ce123f1109be86;2021-12-28 07:14:53;Good Johnny;Good Brother;3;2009-10-06;ACTIVE;PRUflexicash (6TH Series);PRUDENTIAL ASSURANCE;;20 Years;Endowment;2012-02-27;2032-02-26;2016-02-26;;;;5 Years;Cash ( GIRO );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;12345.0;0.0;0.0;0.0;0.0;0.0;0.0;Doc Not Sighted
5c7f2af4d4ce1230ca5525c6;2021-12-28 07:11:06;Good Johnny;Good Johnny;33;1968-02-05;ACTIVE;ELA 15;AVIVA;123456785;Whole Life;Whole Life with Critical Illness;2000-03-06;2067-03-05;2014-03-05;;;;15 Years;Cash ( GIRO );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;50000.0;50000.0;0.0;0.0;50000.0;0.0;0.0;
5c7f2b3bd4ce1230ca5526cd;2021-12-08 02:56:21;Good Johnny;Good Johnny;51;1968-02-05;ACTIVE;Personal Accident;NTUC Income;sdfghj23456;Renewable;Personal Accident;2018-04-06;2022-04-04;2021-04-04;;;;Renewable;Cash ( Cheque );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100000.0;0.0;
5d06eec3d4ce121750423627;2020-05-28 03:15:26;Good Johnny;Good Sister;2;2013-06-05;ACTIVE;Aviva MyEasySaver;AVIVA;;10 Years;Endowment;2014-06-17;2024-06-16;2018-06-16;;;;5 Years;Cash ( Credit Card );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;30000.0;0.0;0.0;0.0;0.0;0.0;0.0;
5d132014d4ce12364a4a2bdc;2019-06-26 15:34:44;Good Johnny;Good FATHER;66;1953-09-05;ACTIVE;Supreme Health P Plus;GREAT EASTERN LIFE ASSURANCE;;Auto-Renewable;Hospital & Surgical;2019-06-26;2022-06-25;2022-06-25;;;;Auto-Renewable;Cash ( GIRO )|CPF Medisave Account;7000.0;10.0;600000.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5d268968d4ce1277737ba60a;2019-07-11 08:57:12;Good Johnny;Good Johnny;51;1968-02-05;ACTIVE;China Life SaveReward 101 Series III (SGD);China Life Insurance Singapore;;10 Years;Single Premium;2018-07-11;2028-07-10;2018-07-10;;;;1 Years;Cash ( GIRO );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;
5d27f082d4ce1237dfc745c5;2019-07-12 10:29:22;Good Johnny;Good Johnny;51;1968-02-05;ACTIVE;AIA Guaranteed Protect (II);AIA;;Whole Life;Whole Life with Critical Illness;2018-07-12;2067-07-11;2066-07-11;;;;Whole Life;Cash ( GIRO );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;100000.0;0.0;0.0;0.0;0.0;0.0;0.0;
5db914c2d4ce1279891ea20b;2019-10-30 12:42:42;Good Johnny;Good Johnny;52;1968-02-05;ACTIVE;PRUmillion;Prudential Assurance Company Malaysia Sdh Bhd;;Whole Life;Investment Link Policy;2019-10-28;2067-10-27;2066-10-27;;;;Whole Life;Cash ( GIRO );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;
5db91603d4ce1214fb1ea1e5;2019-10-30 12:48:03;Good Johnny;Good Johnny;52;1968-02-05;PROPOSAL;PRUmillion;Prudential Assurance Company Malaysia Sdh Bhd;PROPOSAL;Whole Life;Investment Link Policy;2019-10-30;2067-10-29;2066-10-29;;;;Whole Life;Cash ( GIRO );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Why
5dfc8525d4ce121f593152a7;2019-12-20 16:24:05;Good Johnny;Good Johnny;48;1968-02-05;ACTIVE;MyShield Plan 1;AVIVA;;Auto-Renewable;Hospital & Surgical;2015-12-20;2022-12-19;2022-12-19;;;;Auto-Renewable;CPF Medisave Account|Cash ( GIRO );3000.0;10.0;650000.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5e58a16819c6788721a614cc;2021-12-28 07:16:07;Good Johnny;Good Johnny;52;1968-02-05;ACTIVE;Manulink Flexi;MANULIFE;;Whole Life;Investment Link Policy;2020-01-22;2068-01-21;2024-01-21;;;;5 Years;Cash ( GIRO );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;100000.0;0.0;0.0;0.0;0.0;0.0;0.0;Doc missing
5ebe53af279583e8ce8a0af9;2020-05-15 08:49:35;Good Johnny;Good Brother;6;2009-10-06;ACTIVE;Alife Link;AIA Bhd;;Whole Life;Investment Link Policy;2015-06-15;2109-06-14;2108-06-14;;;;Whole Life;Cash ( GIRO );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;100000.0;0.0;0.0;100000.0;0.0;0.0;0.0;
60d6f708e5159f58850a15bf;2021-06-26 09:46:32;Good Johnny;Good boy;1;2020-12-05;ACTIVE;Smart Medic Enhancer;Great Eastern Life Assurance (Malaysia) Berhad;;Whole Life;Whole Life with Critical Illness;2021-05-26;2120-05-25;2040-05-25;;;;20 Years;Cash ( GIRO );0.0;0.0;0.0;0.0;0.0;ASEAN;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;3000000.0;0.0;0.0;0.0;300000.0;0.0;0.0;
